"observationDay","team","county","practiceFacilityCounty","stadiumCounty","positives","population"
2020-10-17,"ARI","Gila",FALSE,FALSE,31,54018
2020-10-18,"ARI","Gila",FALSE,FALSE,16,54018
2020-10-19,"ARI","Gila",FALSE,FALSE,7,54018
2020-10-20,"ARI","Gila",FALSE,FALSE,24,54018
2020-10-21,"ARI","Gila",FALSE,FALSE,5,54018
2020-10-22,"ARI","Gila",FALSE,FALSE,35,54018
2020-10-23,"ARI","Gila",FALSE,FALSE,18,54018
2020-10-24,"ARI","Gila",FALSE,FALSE,11,54018
2020-10-25,"ARI","Gila",FALSE,FALSE,20,54018
2020-10-26,"ARI","Gila",FALSE,FALSE,2,54018
2020-10-27,"ARI","Gila",FALSE,FALSE,44,54018
2020-10-28,"ARI","Gila",FALSE,FALSE,7,54018
2020-10-29,"ARI","Gila",FALSE,FALSE,31,54018
2020-10-30,"ARI","Gila",FALSE,FALSE,20,54018
2020-10-31,"ARI","Gila",FALSE,FALSE,18,54018
2020-11-01,"ARI","Gila",FALSE,FALSE,6,54018
2020-11-02,"ARI","Gila",FALSE,FALSE,3,54018
2020-11-03,"ARI","Gila",FALSE,FALSE,42,54018
2020-11-04,"ARI","Gila",FALSE,FALSE,13,54018
2020-11-05,"ARI","Gila",FALSE,FALSE,34,54018
2020-11-06,"ARI","Gila",FALSE,FALSE,11,54018
2020-11-07,"ARI","Gila",FALSE,FALSE,50,54018
2020-11-08,"ARI","Gila",FALSE,FALSE,26,54018
2020-11-09,"ARI","Gila",FALSE,FALSE,0,54018
2020-11-10,"ARI","Gila",FALSE,FALSE,23,54018
2020-11-11,"ARI","Gila",FALSE,FALSE,53,54018
2020-11-12,"ARI","Gila",FALSE,FALSE,15,54018
2020-11-13,"ARI","Gila",FALSE,FALSE,43,54018
2020-11-14,"ARI","Gila",FALSE,FALSE,45,54018
2020-11-15,"ARI","Gila",FALSE,FALSE,15,54018
2020-11-16,"ARI","Gila",FALSE,FALSE,4,54018
2020-11-17,"ARI","Gila",FALSE,FALSE,22,54018
2020-11-18,"ARI","Gila",FALSE,FALSE,47,54018
2020-11-19,"ARI","Gila",FALSE,FALSE,31,54018
2020-11-20,"ARI","Gila",FALSE,FALSE,48,54018
2020-11-21,"ARI","Gila",FALSE,FALSE,98,54018
2020-11-22,"ARI","Gila",FALSE,FALSE,7,54018
2020-11-23,"ARI","Gila",FALSE,FALSE,12,54018
2020-11-24,"ARI","Gila",FALSE,FALSE,58,54018
2020-11-25,"ARI","Gila",FALSE,FALSE,158,54018
2020-11-26,"ARI","Gila",FALSE,FALSE,34,54018
2020-11-27,"ARI","Gila",FALSE,FALSE,16,54018
2020-11-28,"ARI","Gila",FALSE,FALSE,16,54018
2020-11-29,"ARI","Gila",FALSE,FALSE,57,54018
2020-11-30,"ARI","Gila",FALSE,FALSE,33,54018
2020-12-01,"ARI","Gila",FALSE,FALSE,73,54018
2020-12-02,"ARI","Gila",FALSE,FALSE,41,54018
2020-12-03,"ARI","Gila",FALSE,FALSE,50,54018
2020-12-04,"ARI","Gila",FALSE,FALSE,59,54018
2020-12-05,"ARI","Gila",FALSE,FALSE,36,54018
2020-12-06,"ARI","Gila",FALSE,FALSE,28,54018
2020-12-07,"ARI","Gila",FALSE,FALSE,0,54018
2020-12-08,"ARI","Gila",FALSE,FALSE,75,54018
2020-12-09,"ARI","Gila",FALSE,FALSE,57,54018
2020-12-10,"ARI","Gila",FALSE,FALSE,42,54018
2020-12-11,"ARI","Gila",FALSE,FALSE,68,54018
2020-12-12,"ARI","Gila",FALSE,FALSE,59,54018
2020-12-13,"ARI","Gila",FALSE,FALSE,39,54018
2020-12-14,"ARI","Gila",FALSE,FALSE,95,54018
2020-12-15,"ARI","Gila",FALSE,FALSE,8,54018
2020-12-16,"ARI","Gila",FALSE,FALSE,28,54018
2020-12-17,"ARI","Gila",FALSE,FALSE,65,54018
2020-12-18,"ARI","Gila",FALSE,FALSE,60,54018
2020-12-19,"ARI","Gila",FALSE,FALSE,74,54018
2020-12-20,"ARI","Gila",FALSE,FALSE,45,54018
2020-12-21,"ARI","Gila",FALSE,FALSE,59,54018
2020-12-22,"ARI","Gila",FALSE,FALSE,32,54018
2020-12-23,"ARI","Gila",FALSE,FALSE,45,54018
2020-12-24,"ARI","Gila",FALSE,FALSE,41,54018
2020-12-25,"ARI","Gila",FALSE,FALSE,46,54018
2020-12-26,"ARI","Gila",FALSE,FALSE,22,54018
2020-12-27,"ARI","Gila",FALSE,FALSE,45,54018
2020-12-28,"ARI","Gila",FALSE,FALSE,52,54018
2020-12-29,"ARI","Gila",FALSE,FALSE,14,54018
2020-12-30,"ARI","Gila",FALSE,FALSE,58,54018
2020-12-31,"ARI","Gila",FALSE,FALSE,98,54018
2021-01-01,"ARI","Gila",FALSE,FALSE,35,54018
2021-01-02,"ARI","Gila",FALSE,FALSE,44,54018
2021-01-03,"ARI","Gila",FALSE,FALSE,88,54018
2021-01-04,"ARI","Gila",FALSE,FALSE,12,54018
2021-01-05,"ARI","Gila",FALSE,FALSE,20,54018
2021-01-06,"ARI","Gila",FALSE,FALSE,73,54018
2021-01-07,"ARI","Gila",FALSE,FALSE,78,54018
2021-01-08,"ARI","Gila",FALSE,FALSE,97,54018
2021-01-09,"ARI","Gila",FALSE,FALSE,42,54018
2021-01-10,"ARI","Gila",FALSE,FALSE,54,54018
2021-01-11,"ARI","Gila",FALSE,FALSE,38,54018
2021-01-12,"ARI","Gila",FALSE,FALSE,49,54018
2021-01-13,"ARI","Gila",FALSE,FALSE,56,54018
2021-01-14,"ARI","Gila",FALSE,FALSE,14,54018
2021-01-15,"ARI","Gila",FALSE,FALSE,89,54018
2021-01-16,"ARI","Gila",FALSE,FALSE,27,54018
