"observationDay","team","testedToday"
"2020-08-30","BUF",TRUE
"2020-08-31","BUF",TRUE
"2020-09-01","BUF",TRUE
"2020-09-02","BUF",TRUE
"2020-09-03","BUF",TRUE
"2020-09-04","BUF",TRUE
"2020-09-05","BUF",TRUE
"2020-09-06","BUF",TRUE
"2020-09-07","BUF",TRUE
"2020-09-08","BUF",TRUE
"2020-09-09","BUF",TRUE
"2020-09-10","BUF",TRUE
"2020-09-11","BUF",TRUE
"2020-09-12","BUF",TRUE
"2020-09-13","BUF",FALSE
"2020-09-14","BUF",TRUE
"2020-09-15","BUF",TRUE
"2020-09-16","BUF",TRUE
"2020-09-17","BUF",TRUE
"2020-09-18","BUF",TRUE
"2020-09-19","BUF",TRUE
"2020-09-20","BUF",FALSE
"2020-09-21","BUF",TRUE
"2020-09-22","BUF",TRUE
"2020-09-23","BUF",TRUE
"2020-09-24","BUF",TRUE
"2020-09-25","BUF",TRUE
"2020-09-26","BUF",TRUE
"2020-09-27","BUF",FALSE
"2020-09-28","BUF",TRUE
"2020-09-29","BUF",TRUE
"2020-09-30","BUF",TRUE
"2020-10-01","BUF",TRUE
"2020-10-02","BUF",TRUE
"2020-10-03","BUF",TRUE
"2020-10-04","BUF",FALSE
"2020-10-05","BUF",TRUE
"2020-10-06","BUF",TRUE
"2020-10-07","BUF",TRUE
"2020-10-08","BUF",TRUE
"2020-10-09","BUF",TRUE
"2020-10-10","BUF",TRUE
"2020-10-11","BUF",TRUE
"2020-10-12","BUF",TRUE
"2020-10-13","BUF",TRUE
"2020-10-14","BUF",TRUE
"2020-10-15","BUF",TRUE
"2020-10-16","BUF",TRUE
"2020-10-17","BUF",TRUE
"2020-10-18","BUF",TRUE
"2020-10-19","BUF",TRUE
"2020-10-20","BUF",TRUE
"2020-10-21","BUF",TRUE
"2020-10-22","BUF",TRUE
"2020-10-23","BUF",TRUE
"2020-10-24","BUF",TRUE
"2020-10-25","BUF",TRUE
"2020-10-26","BUF",TRUE
"2020-10-27","BUF",TRUE
"2020-10-28","BUF",TRUE
"2020-10-29","BUF",TRUE
"2020-10-30","BUF",TRUE
"2020-10-31","BUF",TRUE
"2020-11-01","BUF",TRUE
"2020-11-02","BUF",TRUE
"2020-11-03","BUF",TRUE
"2020-11-04","BUF",TRUE
"2020-11-05","BUF",TRUE
"2020-11-06","BUF",TRUE
"2020-11-07","BUF",TRUE
"2020-11-08","BUF",TRUE
"2020-11-09","BUF",TRUE
"2020-11-10","BUF",TRUE
"2020-11-11","BUF",TRUE
"2020-11-12","BUF",TRUE
"2020-11-13","BUF",TRUE
"2020-11-14","BUF",TRUE
"2020-11-15","BUF",TRUE
"2020-11-16","BUF",TRUE
"2020-11-17","BUF",TRUE
"2020-11-18","BUF",TRUE
"2020-11-19","BUF",TRUE
"2020-11-20","BUF",TRUE
"2020-11-21","BUF",TRUE
"2020-11-22","BUF",TRUE
"2020-11-23","BUF",TRUE
"2020-11-24","BUF",TRUE
"2020-11-25","BUF",TRUE
"2020-11-26","BUF",TRUE
"2020-11-27","BUF",TRUE
"2020-11-28","BUF",TRUE
"2020-11-29","BUF",TRUE
"2020-11-30","BUF",TRUE
"2020-12-01","BUF",TRUE
"2020-12-02","BUF",TRUE
"2020-12-03","BUF",TRUE
"2020-12-04","BUF",TRUE
"2020-12-05","BUF",TRUE
"2020-12-06","BUF",TRUE
"2020-12-07","BUF",TRUE
"2020-12-08","BUF",TRUE
"2020-12-09","BUF",TRUE
"2020-12-10","BUF",TRUE
"2020-12-11","BUF",TRUE
"2020-12-12","BUF",TRUE
"2020-12-13","BUF",TRUE
"2020-12-14","BUF",TRUE
"2020-12-15","BUF",TRUE
"2020-12-16","BUF",TRUE
"2020-12-17","BUF",TRUE
"2020-12-18","BUF",TRUE
"2020-12-19","BUF",TRUE
"2020-12-20","BUF",TRUE
"2020-12-21","BUF",TRUE
"2020-12-22","BUF",TRUE
"2020-12-23","BUF",TRUE
"2020-12-24","BUF",TRUE
"2020-12-25","BUF",TRUE
"2020-12-26","BUF",TRUE
"2020-12-27","BUF",TRUE
"2020-12-28","BUF",TRUE
"2020-12-29","BUF",TRUE
"2020-12-30","BUF",TRUE
"2020-12-31","BUF",TRUE
"2021-01-01","BUF",TRUE
"2021-01-02","BUF",TRUE
"2020-08-01","CAR",TRUE
"2020-08-02","CAR",TRUE
"2020-08-03","CAR",TRUE
"2020-08-04","CAR",TRUE
"2020-08-05","CAR",TRUE
"2020-08-06","CAR",TRUE
"2020-08-07","CAR",TRUE
"2020-08-08","CAR",TRUE
"2020-08-09","CAR",TRUE
"2020-08-10","CAR",TRUE
"2020-08-11","CAR",TRUE
"2020-08-12","CAR",TRUE
"2020-08-13","CAR",TRUE
"2020-08-14","CAR",TRUE
"2020-08-15","CAR",TRUE
"2020-08-16","CAR",TRUE
"2020-08-17","CAR",TRUE
"2020-08-18","CAR",TRUE
"2020-08-19","CAR",TRUE
"2020-08-20","CAR",TRUE
"2020-08-21","CAR",TRUE
"2020-08-22","CAR",TRUE
"2020-08-23","CAR",TRUE
"2020-08-24","CAR",TRUE
"2020-08-25","CAR",TRUE
"2020-08-26","CAR",TRUE
"2020-08-27","CAR",TRUE
"2020-08-28","CAR",TRUE
"2020-08-29","CAR",TRUE
"2020-08-30","CAR",TRUE
"2020-08-31","CAR",TRUE
"2020-09-01","CAR",TRUE
"2020-09-02","CAR",TRUE
"2020-09-03","CAR",TRUE
"2020-09-04","CAR",TRUE
"2020-09-05","CAR",TRUE
"2020-09-06","CAR",TRUE
"2020-09-07","CAR",TRUE
"2020-09-08","CAR",TRUE
"2020-09-09","CAR",TRUE
"2020-09-10","CAR",TRUE
"2020-09-11","CAR",TRUE
"2020-09-12","CAR",TRUE
"2020-09-13","CAR",FALSE
"2020-09-14","CAR",TRUE
"2020-09-15","CAR",TRUE
"2020-09-16","CAR",TRUE
"2020-09-17","CAR",TRUE
"2020-09-18","CAR",TRUE
"2020-09-19","CAR",TRUE
"2020-09-20","CAR",FALSE
"2020-09-21","CAR",TRUE
"2020-09-22","CAR",TRUE
"2020-09-23","CAR",TRUE
"2020-09-24","CAR",TRUE
"2020-09-25","CAR",TRUE
"2020-09-26","CAR",TRUE
"2020-09-27","CAR",FALSE
"2020-09-28","CAR",TRUE
"2020-09-29","CAR",TRUE
"2020-09-30","CAR",TRUE
"2020-10-01","CAR",TRUE
"2020-10-02","CAR",TRUE
"2020-10-03","CAR",TRUE
"2020-10-04","CAR",FALSE
"2020-10-05","CAR",TRUE
"2020-10-06","CAR",TRUE
"2020-10-07","CAR",TRUE
"2020-10-08","CAR",TRUE
"2020-10-09","CAR",TRUE
"2020-10-10","CAR",TRUE
"2020-10-11","CAR",FALSE
"2020-10-12","CAR",TRUE
"2020-10-13","CAR",TRUE
"2020-10-14","CAR",TRUE
"2020-10-15","CAR",TRUE
"2020-10-16","CAR",TRUE
"2020-10-17","CAR",TRUE
"2020-10-18","CAR",TRUE
"2020-10-19","CAR",TRUE
"2020-10-20","CAR",TRUE
"2020-10-21","CAR",TRUE
"2020-10-22","CAR",TRUE
"2020-10-23","CAR",TRUE
"2020-10-24","CAR",TRUE
"2020-10-25","CAR",TRUE
"2020-10-26","CAR",TRUE
"2020-10-27","CAR",TRUE
"2020-10-28","CAR",TRUE
"2020-10-29","CAR",TRUE
"2020-10-30","CAR",TRUE
"2020-10-31","CAR",TRUE
"2020-11-01","CAR",TRUE
"2020-11-02","CAR",TRUE
"2020-11-03","CAR",TRUE
"2020-11-04","CAR",TRUE
"2020-11-05","CAR",TRUE
"2020-11-06","CAR",TRUE
"2020-11-07","CAR",TRUE
"2020-11-08","CAR",TRUE
"2020-11-09","CAR",TRUE
"2020-11-10","CAR",TRUE
"2020-11-11","CAR",TRUE
"2020-11-12","CAR",TRUE
"2020-11-13","CAR",TRUE
"2020-11-14","CAR",TRUE
"2020-11-15","CAR",TRUE
"2020-11-16","CAR",TRUE
"2020-11-17","CAR",TRUE
"2020-11-18","CAR",TRUE
"2020-11-19","CAR",TRUE
"2020-11-20","CAR",TRUE
"2020-11-21","CAR",TRUE
"2020-11-22","CAR",TRUE
"2020-11-23","CAR",TRUE
